Order ID,Order Date,Customer Segment,Region,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Ship Mode,Order Year,Order Month,Profit Margin %
ORD-3489,2024-01-11,Home Office,South,Office Supplies,Pens,Highlighter Set,5,14.87,0.3,52.04,0.79,Standard Class,2024,2024-01,1.52
ORD-1740,2024-01-11,Consumer,South,Office Supplies,Art Supplies,Sketch Pad,7,41.81,0.0,292.67,32.79,Second Class,2024,2024-01,11.2
ORD-3944,2024-01-11,Home Office,East,Technology,Phones,Smartphone Lite,1,494.9,0.2,395.92,73.46,Standard Class,2024,2024-01,18.55
ORD-4510,2024-01-11,Consumer,East,Technology,Accessories,Wireless Mouse,7,111.53,0.3,546.5,3.28,Same Day,2024,2024-01,0.6
ORD-3906,2024-01-11,Home Office,West,Office Supplies,Pens,Permanent Marker Pack,5,17.82,0.0,89.1,14.97,Standard Class,2024,2024-01,16.8
ORD-1143,2024-01-12,Consumer,Central,Office Supplies,Art Supplies,Color Pencil Set,5,13.38,0.15,56.86,11.69,Standard Class,2024,2024-01,20.56
ORD-1579,2024-01-12,Home Office,East,Technology,Phones,Smartphone X12,2,496.91,0.0,993.82,38.48,Standard Class,2024,2024-01,3.87
ORD-2890,2024-01-12,Home Office,West,Office Supplies,Binders,View Binder 2-Inch,1,24.57,0.0,24.57,5.17,First Class,2024,2024-01,21.04
ORD-2040,2024-01-13,Corporate,South,Office Supplies,Storage,Storage Box (Pack Of 5),5,110.51,0.1,497.3,147.5,First Class,2024,2024-01,29.66
ORD-2662,2024-01-13,Corporate,North,Technology,Accessories,Bluetooth Keyboard,4,111.4,0.0,445.6,103.1,Standard Class,2024,2024-01,23.14
ORD-2139,2024-01-14,Home Office,West,Office Supplies,Paper,Notebook Pack,7,5.12,0.1,32.26,7.64,Standard Class,2024,2024-01,23.68
ORD-2024,2024-01-14,Consumer,South,Furniture,Bookcases,Corner Bookcase,6,195.38,0.0,1172.28,209.89,First Class,2024,2024-01,17.9
ORD-2222,2024-01-14,Corporate,Central,Technology,Accessories,Bluetooth Keyboard,1,84.7,0.0,84.7,23.31,Standard Class,2024,2024-01,27.52
ORD-2743,2024-01-14,Consumer,East,Technology,Printers,Laserjet Printer,3,347.15,0.0,1041.45,19.44,Second Class,2024,2024-01,1.87
ORD-1885,2024-01-14,Corporate,West,Furniture,Bookcases,Corner Bookcase,1,465.35,0.0,465.35,40.76,Standard Class,2024,2024-01,8.76
ORD-1814,2024-01-15,Consumer,South,Office Supplies,Binders,Round Ring Binder,2,9.36,0.15,15.91,3.22,Standard Class,2024,2024-01,20.24
ORD-1243,2024-01-15,Home Office,West,Technology,Laptops,Ultrabook Pro 14,6,1165.6,0.0,6993.6,92.11,First Class,2024,2024-01,1.32
ORD-2468,2024-01-15,Home Office,Central,Office Supplies,Art Supplies,Sketch Pad,1,17.79,0.15,15.12,3.46,Standard Class,2024,2024-01,22.88
ORD-3220,2024-01-16,Home Office,West,Technology,Printers,All-In-One Inkjet Printer,7,490.54,0.15,2918.71,496.87,Second Class,2024,2024-01,17.02
ORD-2855,2024-01-16,Corporate,Central,Technology,Printers,Laserjet Printer,1,349.77,0.0,349.77,32.15,Second Class,2024,2024-01,9.19
ORD-1815,2024-01-16,Consumer,North,Technology,Phones,Smartphone X12,6,852.05,0.0,5112.3,1297.99,Standard Class,2024,2024-01,25.39
ORD-1093,2024-01-16,Home Office,East,Technology,Laptops,Chromebook Edu,2,659.66,0.3,923.52,82.78,Standard Class,2024,2024-01,8.96
ORD-3564,2024-01-16,Consumer,East,Office Supplies,Paper,Sticky Notes Pack,3,18.16,0.1,49.03,3.51,Standard Class,2024,2024-01,7.16
ORD-3969,2024-01-17,Corporate,South,Technology,Printers,All-In-One Inkjet Printer,7,452.42,0.15,2691.9,-111.35,Same Day,2024,2024-01,-4.14
ORD-1088,2024-01-17,Consumer,East,Technology,Printers,All-In-One Inkjet Printer,3,81.22,0.0,243.66,43.14,Standard Class,2024,2024-01,17.7
ORD-1471,2024-01-17,Home Office,West,Office Supplies,Art Supplies,Color Pencil Set,1,34.6,0.2,27.68,-0.58,Standard Class,2024,2024-01,-2.1
ORD-2419,2024-01-17,Consumer,East,Technology,Printers,All-In-One Inkjet Printer,3,435.56,0.0,1306.68,149.8,Standard Class,2024,2024-01,11.46
ORD-1286,2024-01-17,Corporate,South,Office Supplies,Binders,Round Ring Binder,1,3.4,0.2,2.72,0.41,Standard Class,2024,2024-01,15.07
ORD-3869,2024-01-17,Home Office,South,Technology,Printers,Laserjet Printer,1,443.08,0.15,376.62,-16.62,First Class,2024,2024-01,-4.41
ORD-1518,2024-01-18,Consumer,East,Office Supplies,Pens,Highlighter Set,6,7.95,0.2,38.16,3.26,Standard Class,2024,2024-01,8.54
ORD-2852,2024-01-18,Consumer,West,Office Supplies,Paper,Sticky Notes Pack,7,29.33,0.0,205.31,49.11,First Class,2024,2024-01,23.92
ORD-2481,2024-01-18,Consumer,South,Office Supplies,Storage,Storage Box (Pack Of 5),4,105.49,0.0,421.96,129.08,Second Class,2024,2024-01,30.59
ORD-2020,2024-01-18,Consumer,West,Furniture,Sofas,2-Seater Sofa,4,924.96,0.1,3329.86,-298.81,First Class,2024,2024-01,-8.97
ORD-1203,2024-01-19,Consumer,East,Technology,Phones,Smartphone X12,2,862.25,0.15,1465.82,269.51,First Class,2024,2024-01,18.39
ORD-4876,2024-01-19,Consumer,West,Office Supplies,Pens,Highlighter Set,2,13.85,0.0,27.7,2.31,First Class,2024,2024-01,8.34
ORD-2575,2024-01-19,Corporate,West,Furniture,Sofas,2-Seater Sofa,1,394.16,0.0,394.16,18.61,Second Class,2024,2024-01,4.72
ORD-5006,2024-01-19,Consumer,South,Technology,Phones,Office Cordless Phone,6,422.23,0.1,2280.04,108.25,Standard Class,2024,2024-01,4.75
ORD-5036,2024-01-19,Home Office,East,Technology,Laptops,Business Laptop 15,3,920.24,0.0,2760.72,104.12,Same Day,2024,2024-01,3.77
ORD-1222,2024-01-19,Consumer,North,Technology,Printers,Label Printer,7,409.11,0.0,2863.77,647.29,Standard Class,2024,2024-01,22.6
ORD-2626,2024-01-19,Consumer,West,Furniture,Sofas,2-Seater Sofa,3,710.12,0.3,1491.25,-405.6,Standard Class,2024,2024-01,-27.2
ORD-1168,2024-01-20,Consumer,West,Technology,Phones,Smartphone Lite,6,650.47,0.1,3512.54,455.97,Standard Class,2024,2024-01,12.98
ORD-2194,2024-01-21,Home Office,South,Furniture,Chairs,Ergo Office Chair,6,253.42,0.1,1368.47,-319.98,Second Class,2024,2024-01,-23.38
ORD-2312,2024-01-21,Corporate,West,Office Supplies,Pens,Highlighter Set,7,11.55,0.3,56.6,4.65,Standard Class,2024,2024-01,8.22
ORD-4042,2024-01-21,Home Office,West,Technology,Laptops,Business Laptop 15,3,591.08,0.0,1773.24,290.09,Standard Class,2024,2024-01,16.36
ORD-2733,2024-01-21,Home Office,North,Office Supplies,Paper,Copy Paper A4 (Ream),6,15.08,0.4,54.29,3.42,Standard Class,2024,2024-01,6.3
ORD-4938,2024-01-21,Consumer,West,Office Supplies,Binders,View Binder 2-Inch,4,10.48,0.1,37.73,6.86,Same Day,2024,2024-01,18.18
ORD-4467,2024-01-22,Consumer,South,Technology,Laptops,Ultrabook Pro 14,6,1724.98,0.2,8279.9,1419.94,Second Class,2024,2024-01,17.15
ORD-1551,2024-01-22,Home Office,East,Technology,Accessories,Laptop Sleeve,5,43.34,0.3,151.69,7.78,Standard Class,2024,2024-01,5.13
ORD-4407,2024-01-22,Consumer,Central,Furniture,Tables,Round Meeting Table,1,539.44,0.15,458.52,41.95,Standard Class,2024,2024-01,9.15
ORD-2120,2024-01-22,Home Office,North,Office Supplies,Paper,Sticky Notes Pack,2,16.52,0.0,33.04,7.87,First Class,2024,2024-01,23.82
ORD-2692,2024-01-22,Consumer,North,Technology,Laptops,Business Laptop 15,1,516.58,0.1,464.92,22.68,Second Class,2024,2024-01,4.88
ORD-4552,2024-01-22,Home Office,North,Furniture,Sofas,2-Seater Sofa,2,469.5,0.0,939.0,22.5,Standard Class,2024,2024-01,2.4
ORD-3145,2024-01-22,Consumer,South,Office Supplies,Art Supplies,Marker Set,4,51.19,0.1,184.28,1.36,Same Day,2024,2024-01,0.74
ORD-2064,2024-01-22,Consumer,West,Office Supplies,Binders,Round Ring Binder,2,20.7,0.2,33.12,4.32,Standard Class,2024,2024-01,13.04
ORD-3296,2024-01-23,Corporate,East,Technology,Laptops,Chromebook Edu,7,1561.1,0.1,9834.93,-37.36,Standard Class,2024,2024-01,-0.38
ORD-1633,2024-01-23,Corporate,East,Office Supplies,Binders,Round Ring Binder,1,23.07,0.4,13.84,-0.25,Same Day,2024,2024-01,-1.81
ORD-3114,2024-01-23,Consumer,West,Office Supplies,Paper,Copy Paper A4 (Ream),2,16.21,0.0,32.42,3.19,Same Day,2024,2024-01,9.84
ORD-2667,2024-01-23,Home Office,East,Furniture,Bookcases,5-Shelf Bookcase,4,206.43,0.1,743.15,66.09,Standard Class,2024,2024-01,8.89
ORD-3794,2024-01-24,Consumer,South,Office Supplies,Art Supplies,Color Pencil Set,4,52.45,0.1,188.82,32.04,Standard Class,2024,2024-01,16.97
ORD-4008,2024-01-24,Consumer,Central,Technology,Accessories,Laptop Sleeve,7,27.57,0.15,164.04,31.01,Second Class,2024,2024-01,18.9
ORD-4235,2024-01-24,Home Office,South,Furniture,Bookcases,Corner Bookcase,5,172.75,0.15,734.19,-62.18,Standard Class,2024,2024-01,-8.47
ORD-3343,2024-01-25,Consumer,South,Office Supplies,Art Supplies,Sketch Pad,2,15.29,0.0,30.58,8.7,Standard Class,2024,2024-01,28.45
ORD-4080,2024-01-25,Home Office,Central,Office Supplies,Art Supplies,Sketch Pad,3,16.03,0.0,48.09,11.23,Second Class,2024,2024-01,23.35
ORD-5050,2024-01-25,Corporate,East,Technology,Phones,Smartphone Lite,2,448.72,0.0,897.44,101.18,Standard Class,2024,2024-01,11.27
ORD-4363,2024-01-25,Consumer,Central,Furniture,Sofas,Reception Sofa,2,423.63,0.0,847.26,144.26,Second Class,2024,2024-01,17.03
ORD-3047,2024-01-25,Consumer,East,Furniture,Bookcases,Corner Bookcase,3,189.69,0.0,569.07,9.13,Same Day,2024,2024-01,1.6
ORD-5079,2024-01-26,Corporate,South,Office Supplies,Binders,View Binder 2-Inch,4,12.73,0.2,40.74,-0.99,Same Day,2024,2024-01,-2.43
ORD-1136,2024-01-26,Home Office,West,Office Supplies,Paper,Copy Paper A4 (Ream),5,10.16,0.0,50.8,13.7,Standard Class,2024,2024-01,26.97
ORD-2409,2024-01-26,Consumer,North,Furniture,Chairs,Mesh Task Chair,4,112.74,0.0,450.96,-74.87,Standard Class,2024,2024-01,-16.6
ORD-4081,2024-01-26,Home Office,North,Office Supplies,Art Supplies,Color Pencil Set,4,39.3,0.0,157.2,25.81,Standard Class,2024,2024-01,16.42
ORD-5094,2024-01-27,Corporate,West,Office Supplies,Art Supplies,Marker Set,1,24.98,0.15,21.23,1.15,Standard Class,2024,2024-01,5.42
ORD-3236,2024-01-27,Consumer,West,Technology,Printers,Laserjet Printer,6,246.04,0.2,1180.99,190.84,Standard Class,2024,2024-01,16.16
ORD-3662,2024-01-27,Corporate,West,Technology,Accessories,Usb-C Hub,1,17.1,0.3,11.97,0.11,Standard Class,2024,2024-01,0.92
ORD-4067,2024-01-27,Consumer,South,Office Supplies,Storage,Plastic Drawer Unit,6,102.75,0.0,616.5,192.2,First Class,2024,2024-01,31.18
ORD-5147,2024-01-27,Consumer,South,Technology,Laptops,Business Laptop 15,5,811.79,0.3,2841.26,255.15,Second Class,2024,2024-01,8.98
ORD-1121,2024-01-28,Consumer,South,Office Supplies,Binders,Heavy Duty Binder,2,12.72,0.0,25.44,6.38,First Class,2024,2024-01,25.08
ORD-4955,2024-01-28,Corporate,Central,Furniture,Sofas,Reception Sofa,1,884.12,0.1,795.71,-73.51,Standard Class,2024,2024-01,-9.24
ORD-1623,2024-01-28,Home Office,South,Furniture,Tables,Round Meeting Table,6,356.57,0.0,2139.42,-255.53,Second Class,2024,2024-01,-11.94
ORD-2478,2024-01-28,Consumer,East,Furniture,Sofas,Reception Sofa,4,1054.65,0.0,4218.6,161.48,Second Class,2024,2024-01,3.83
ORD-3746,2024-01-28,Consumer,West,Technology,Printers,All-In-One Inkjet Printer,3,596.98,0.1,1611.85,103.1,Second Class,2024,2024-01,6.4
ORD-4646,2024-01-28,Corporate,East,Office Supplies,Storage,Storage Box (Pack Of 5),5,15.42,0.4,46.26,0.61,First Class,2024,2024-01,1.32
ORD-3697,2024-01-28,Consumer,East,Office Supplies,Art Supplies,Color Pencil Set,4,53.88,0.1,193.97,13.6,Standard Class,2024,2024-01,7.01
ORD-4671,2024-01-28,Corporate,South,Furniture,Tables,Conference Table,6,190.01,0.1,1026.05,-67.71,Second Class,2024,2024-01,-6.6
ORD-5009,2024-01-28,Corporate,East,Technology,Printers,Laserjet Printer,3,106.59,0.1,287.79,-0.73,Standard Class,2024,2024-01,-0.25
ORD-2123,2024-01-29,Consumer,East,Office Supplies,Pens,Gel Pen Pack,4,3.04,0.0,12.16,4.19,Standard Class,2024,2024-01,34.46
ORD-3951,2024-01-29,Home Office,West,Office Supplies,Paper,Notebook Pack,6,25.38,0.15,129.44,6.81,Standard Class,2024,2024-01,5.26
ORD-3804,2024-01-29,Home Office,West,Office Supplies,Binders,View Binder 2-Inch,6,18.77,0.15,95.73,3.08,Standard Class,2024,2024-01,3.22
ORD-1086,2024-01-29,Corporate,West,Office Supplies,Art Supplies,Marker Set,6,26.82,0.0,160.92,31.4,Same Day,2024,2024-01,19.51
ORD-3217,2024-01-29,Home Office,Central,Office Supplies,Art Supplies,Marker Set,6,56.82,0.1,306.83,86.08,Standard Class,2024,2024-01,28.05
ORD-4556,2024-01-30,Consumer,East,Office Supplies,Pens,Permanent Marker Pack,6,16.98,0.0,101.88,28.74,Standard Class,2024,2024-01,28.21
ORD-2053,2024-01-30,Corporate,West,Office Supplies,Art Supplies,Color Pencil Set,1,10.86,0.0,10.86,3.38,Standard Class,2024,2024-01,31.12
ORD-3286,2024-01-30,Corporate,West,Office Supplies,Storage,File Cabinet,3,113.92,0.0,341.76,26.85,Second Class,2024,2024-01,7.86
ORD-5022,2024-01-30,Consumer,Central,Office Supplies,Binders,View Binder 2-Inch,3,3.05,0.0,9.15,1.54,Second Class,2024,2024-01,16.83
ORD-2651,2024-01-30,Consumer,South,Technology,Accessories,Usb-C Hub,5,78.23,0.1,352.04,77.13,First Class,2024,2024-01,21.91
ORD-4539,2024-01-30,Home Office,South,Furniture,Tables,Round Meeting Table,7,509.19,0.1,3207.9,-53.49,Same Day,2024,2024-01,-1.67
ORD-2684,2024-01-31,Consumer,North,Technology,Laptops,Chromebook Edu,7,460.86,0.15,2742.12,-187.58,First Class,2024,2024-01,-6.84
ORD-3379,2024-01-31,Consumer,North,Office Supplies,Storage,Storage Box (Pack Of 5),2,69.95,0.0,139.9,36.43,Second Class,2024,2024-01,26.04
ORD-4392,2024-01-31,Corporate,Central,Technology,Laptops,Chromebook Edu,3,471.8,0.1,1273.86,-35.03,First Class,2024,2024-01,-2.75
ORD-2283,2024-01-31,Home Office,North,Office Supplies,Paper,Copy Paper A4 (Ream),1,20.98,0.2,16.78,3.08,Standard Class,2024,2024-01,18.36
ORD-2004,2024-02-01,Consumer,North,Office Supplies,Art Supplies,Sketch Pad,7,54.78,0.0,383.46,83.22,Standard Class,2024,2024-02,21.7
ORD-1907,2024-02-02,Consumer,Central,Office Supplies,Binders,View Binder 2-Inch,2,8.33,0.2,13.33,0.54,Standard Class,2024,2024-02,4.05
ORD-1008,2024-02-02,Consumer,East,Office Supplies,Pens,Highlighter Set,7,9.51,0.15,56.58,11.5,Second Class,2024,2024-02,20.33
ORD-1521,2024-02-03,Consumer,West,Office Supplies,Paper,Notebook Pack,7,6.85,0.0,47.95,16.24,Second Class,2024,2024-02,33.87
ORD-4009,2024-02-04,Consumer,Central,Technology,Printers,Laserjet Printer,6,139.8,0.15,712.98,-37.56,Second Class,2024,2024-02,-5.27
ORD-4448,2024-02-04,Home Office,West,Furniture,Chairs,Ergo Office Chair,2,348.05,0.1,626.49,63.39,Standard Class,2024,2024-02,10.12
ORD-5073,2024-02-04,Consumer,South,Office Supplies,Art Supplies,Sketch Pad,4,56.85,0.15,193.29,32.0,Standard Class,2024,2024-02,16.56
ORD-3580,2024-02-04,Consumer,South,Office Supplies,Pens,Permanent Marker Pack,6,7.88,0.2,37.82,6.39,Standard Class,2024,2024-02,16.9
ORD-2469,2024-02-05,Home Office,South,Office Supplies,Pens,Highlighter Set,4,16.59,0.1,59.72,10.36,Standard Class,2024,2024-02,17.35
ORD-3866,2024-02-05,Consumer,South,Office Supplies,Binders,View Binder 2-Inch,1,10.38,0.0,10.38,1.6,Standard Class,2024,2024-02,15.41
ORD-4907,2024-02-05,Corporate,West,Office Supplies,Paper,Notebook Pack,3,29.18,0.1,78.79,2.19,First Class,2024,2024-02,2.78
ORD-5104,2024-02-05,Corporate,Central,Office Supplies,Binders,Round Ring Binder,7,21.78,0.1,137.21,13.92,First Class,2024,2024-02,10.15
ORD-1140,2024-02-05,Consumer,South,Technology,Accessories,Wireless Mouse,1,17.64,0.2,14.11,1.42,Standard Class,2024,2024-02,10.06
ORD-5002,2024-02-05,Corporate,West,Technology,Laptops,Business Laptop 15,4,1284.86,0.0,5139.44,758.9,Standard Class,2024,2024-02,14.77
ORD-2088,2024-02-05,Consumer,West,Furniture,Tables,Conference Table,4,573.98,0.0,2295.92,433.51,Standard Class,2024,2024-02,18.88
ORD-2775,2024-02-06,Home Office,East,Office Supplies,Paper,Sticky Notes Pack,3,26.84,0.1,72.47,7.7,Second Class,2024,2024-02,10.63
ORD-2809,2024-02-06,Corporate,North,Office Supplies,Binders,Heavy Duty Binder,1,7.76,0.3,5.43,0.84,Standard Class,2024,2024-02,15.47
ORD-2623,2024-02-06,Corporate,Central,Technology,Laptops,Ultrabook Pro 14,2,684.63,0.2,1095.41,215.65,Standard Class,2024,2024-02,19.69
ORD-2003,2024-02-06,Corporate,Central,Furniture,Chairs,Mesh Task Chair,7,343.93,0.0,2407.51,-464.45,Second Class,2024,2024-02,-19.29
ORD-3022,2024-02-07,Consumer,West,Office Supplies,Art Supplies,Sketch Pad,4,54.57,0.0,218.28,17.04,Standard Class,2024,2024-02,7.81
ORD-3062,2024-02-07,Corporate,East,Office Supplies,Storage,Plastic Drawer Unit,7,41.28,0.15,245.62,20.59,First Class,2024,2024-02,8.38
ORD-2346,2024-02-07,Consumer,Central,Furniture,Tables,Standing Desk,3,880.63,0.1,2377.7,-582.88,Standard Class,2024,2024-02,-24.51
ORD-3206,2024-02-07,Consumer,South,Technology,Phones,Smartphone X12,4,592.01,0.15,2012.83,27.12,Standard Class,2024,2024-02,1.35
ORD-4350,2024-02-07,Home Office,North,Office Supplies,Binders,Heavy Duty Binder,5,3.29,0.1,14.8,2.73,Standard Class,2024,2024-02,18.45
ORD-4516,2024-02-07,Corporate,East,Furniture,Bookcases,5-Shelf Bookcase,4,462.33,0.3,1294.52,59.15,Standard Class,2024,2024-02,4.57
ORD-4943,2024-02-07,Consumer,West,Office Supplies,Storage,File Cabinet,3,89.62,0.1,241.97,15.0,Second Class,2024,2024-02,6.2
ORD-1094,2024-02-08,Consumer,North,Furniture,Chairs,Ergo Office Chair,1,187.81,0.15,159.64,-17.22,Second Class,2024,2024-02,-10.79
ORD-3585,2024-02-08,Consumer,East,Office Supplies,Storage,File Cabinet,1,32.96,0.2,26.37,-0.52,Standard Class,2024,2024-02,-1.97
ORD-4854,2024-02-08,Home Office,North,Office Supplies,Art Supplies,Marker Set,5,8.7,0.0,43.5,13.72,Same Day,2024,2024-02,31.54
ORD-3889,2024-02-08,Consumer,North,Technology,Printers,Laserjet Printer,6,447.42,0.1,2416.07,516.34,Second Class,2024,2024-02,21.37
ORD-4738,2024-02-08,Consumer,North,Office Supplies,Paper,Notebook Pack,6,26.78,0.0,160.68,42.9,Same Day,2024,2024-02,26.7
ORD-4879,2024-02-09,Consumer,East,Office Supplies,Pens,Highlighter Set,1,18.15,0.1,16.34,3.5,First Class,2024,2024-02,21.42
ORD-1805,2024-02-09,Consumer,East,Office Supplies,Paper,Copy Paper A4 (Ream),6,10.91,0.2,52.37,-2.12,Standard Class,2024,2024-02,-4.05
ORD-5120,2024-02-10,Consumer,East,Office Supplies,Storage,Plastic Drawer Unit,6,53.71,0.1,290.03,67.52,First Class,2024,2024-02,23.28
ORD-4440,2024-02-10,Consumer,Central,Furniture,Tables,Conference Table,5,315.51,0.3,1104.28,-158.15,Standard Class,2024,2024-02,-14.32
ORD-3912,2024-02-11,Corporate,East,Office Supplies,Storage,Storage Box (Pack Of 5),2,145.07,0.1,261.13,52.8,Standard Class,2024,2024-02,20.22
ORD-2014,2024-02-11,Consumer,South,Office Supplies,Pens,Permanent Marker Pack,3,7.87,0.3,16.53,-1.02,Standard Class,2024,2024-02,-6.17
ORD-2811,2024-02-11,Corporate,East,Office Supplies,Paper,Copy Paper A4 (Ream),5,17.6,0.2,70.4,9.83,Standard Class,2024,2024-02,13.96
ORD-1465,2024-02-11,Consumer,South,Furniture,Tables,Standing Desk,1,541.16,0.15,459.99,-74.64,Second Class,2024,2024-02,-16.23
ORD-3110,2024-02-11,Corporate,East,Furniture,Tables,Round Meeting Table,2,536.83,0.1,966.29,111.37,First Class,2024,2024-02,11.53
ORD-3088,2024-02-12,Corporate,South,Office Supplies,Pens,Highlighter Set,3,10.15,0.15,25.88,6.9,First Class,2024,2024-02,26.66
ORD-2463,2024-02-12,Home Office,North,Furniture,Bookcases,5-Shelf Bookcase,2,207.18,0.1,372.92,41.15,Second Class,2024,2024-02,11.03
ORD-3971,2024-02-12,Home Office,North,Office Supplies,Paper,Copy Paper A4 (Ream),3,26.38,0.2,63.31,2.36,Standard Class,2024,2024-02,3.73
ORD-3502,2024-02-12,Corporate,Central,Office Supplies,Pens,Gel Pen Pack,3,4.9,0.1,13.23,1.22,Second Class,2024,2024-02,9.22
ORD-2364,2024-02-13,Home Office,South,Office Supplies,Paper,Copy Paper A4 (Ream),3,7.15,0.0,21.45,2.06,Second Class,2024,2024-02,9.6
ORD-2133,2024-02-13,Home Office,West,Office Supplies,Art Supplies,Color Pencil Set,7,49.96,0.1,314.75,6.98,Standard Class,2024,2024-02,2.22
ORD-4419,2024-02-13,Consumer,West,Technology,Laptops,Ultrabook Pro 14,2,811.29,0.2,1298.06,58.43,Standard Class,2024,2024-02,4.5
ORD-3310,2024-02-13,Consumer,West,Office Supplies,Paper,Sticky Notes Pack,4,11.09,0.0,44.36,5.8,First Class,2024,2024-02,13.07
ORD-3116,2024-02-14,Consumer,West,Furniture,Chairs,Ergo Office Chair,1,248.86,0.0,248.86,-3.12,Second Class,2024,2024-02,-1.25
ORD-2213,2024-02-15,Consumer,West,Office Supplies,Storage,File Cabinet,7,147.25,0.0,1030.75,101.37,Standard Class,2024,2024-02,9.83
